user_story_id,user_story_description,stakeholder_role,complexity,moscow_category,dependencies,weighted_score,final_priority,project_stage,timestamp,outcome
3042,"The platform should provide an easy-to-use interface that allows users to browse and compare multiple properties at once, and filter results based on their preferences.",General User,25,Should Have,,10.5,Medium,Planning,2020-03-07 12:33:41.309671,Approved
3045,User stories for food order online,General User,6,Won’t Have,,5.6,Low,Planning,2020-03-06 12:33:41.309671,Deferred
3047,"1.	As a customer, I want to be able to create an account and save my payment and delivery information for future orders.",Customer,23,Won’t Have,,7.3,Low,Planning,2020-03-05 12:33:41.309671,Deferred
3048,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2020-03-04 12:33:41.309671,Deferred
3049,The restaurant's online ordering system allows customers to create and manage their accounts.,Customer,13,Won’t Have,,6.3,Low,Planning,2020-03-03 12:33:41.309671,Deferred
3050,Customers can securely save their payment and delivery information for faster checkout.,Customer,12,Won’t Have,,6.2,Low,Planning,2020-03-02 12:33:41.309671,Deferred
3051,The account information is protected by appropriate security measures.,General User,9,Won’t Have,,5.9,Low,Planning,2020-03-01 12:33:41.309671,Deferred
3053,"2.	As a customer, I want to be able to view the nutritional information and allergen information for each menu item so that I can make informed choices.",Customer,28,Won’t Have,,7.8,Low,Planning,2020-02-29 12:33:41.309671,Deferred
3054,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2020-02-28 12:33:41.309671,Deferred
3055,The restaurant's online ordering system provides clear and accurate nutritional information and allergen information for each menu item.,General User,18,Won’t Have,,6.8,Low,Planning,2020-02-27 12:33:41.309671,Deferred
3056,The information is updated regularly and reflects any changes to the menu or ingredients.,General User,14,Won’t Have,,6.4,Low,Planning,2020-02-26 12:33:41.309671,Deferred
3057,Customers can easily access the information when browsing the menu or placing an order.,Customer,14,Won’t Have,,6.4,Low,Planning,2020-02-25 12:33:41.309671,Deferred
3059,"3.	As a customer, I want to be able to redeem rewards or use discount codes for my orders.",Customer,19,Won’t Have,,6.9,Low,Planning,2020-02-24 12:33:41.309671,Deferred
3060,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2020-02-23 12:33:41.309671,Deferred
3061,The restaurant's online ordering system allows customers to redeem rewards or use discount codes for their orders.,Customer,17,Won’t Have,,6.7,Low,Planning,2020-02-22 12:33:41.309671,Deferred
3062,The rewards or discount codes are verified and applied accurately.,General User,10,Won’t Have,,6.0,Low,Planning,2020-02-21 12:33:41.309671,Deferred
3063,Customers are informed of any restrictions or limitations on the use of rewards or discount codes.,Customer,16,Won’t Have,,6.6,Low,Planning,2020-02-20 12:33:41.309671,Deferred
3064,"As a customer, I want to be able to schedule my order for a specific date and time in advance.",Customer,20,Won’t Have,,7.0,Low,Planning,2020-02-19 12:33:41.309671,Deferred
3065,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2020-02-18 12:33:41.309671,Deferred
3066,The restaurant's online ordering system allows customers to schedule their orders for a specific date and time in advance.,Customer,19,Won’t Have,,6.9,Low,Planning,2020-02-17 12:33:41.309671,Deferred
3067,The restaurant staff confirm the scheduled order and prepare it accordingly.,General User,11,Won’t Have,,6.1,Low,Planning,2020-02-16 12:33:41.309671,Deferred
3068,The estimated delivery or pickup times are accurate and updated in real-time based on the scheduled order.,General User,17,Won’t Have,,6.7,Low,Planning,2020-02-15 12:33:41.309671,Deferred
3070,"4.	As a customer, I want to be able to see the restaurant's ratings and reviews from third-party platforms like Yelp or Google.",Customer,23,Won’t Have,,7.3,Low,Planning,2020-02-14 12:33:41.309671,Deferred
3071,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2020-02-13 12:33:41.309671,Deferred
3072,The restaurant's online ordering system integrates with third-party platforms like Yelp or Google to display the restaurant's ratings and reviews.,General User,20,Won’t Have,,7.0,Low,Planning,2020-02-12 12:33:41.309671,Deferred
3073,The ratings and reviews are updated regularly and reflect the most recent feedback.,General User,13,Won’t Have,,6.3,Low,Planning,2020-02-11 12:33:41.309671,Deferred
3074,Customers can easily access the ratings and reviews when browsing the menu or placing an order.,Customer,16,Won’t Have,,6.6,Low,Planning,2020-02-10 12:33:41.309671,Deferred
3075,"5.	As a customer, I want to be able to split the bill with friends or colleagues when placing a group order.",Customer,22,Won’t Have,,7.2,Low,Planning,2020-02-09 12:33:41.309671,Deferred
3076,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2020-02-08 12:33:41.309671,Deferred
3077,The restaurant's online ordering system allows customers to split the bill with friends or colleagues when placing a group order.,Customer,20,Won’t Have,,7.0,Low,Planning,2020-02-07 12:33:41.309671,Deferred
3078,The payment is divided accurately and reflects any modifications or cancellations.,General User,11,Won’t Have,,6.1,Low,Planning,2020-02-06 12:33:41.309671,Deferred
3079,The payment process is secure and user-friendly.,General User,7,Won’t Have,,5.7,Low,Planning,2020-02-05 12:33:41.309671,Deferred
3081,"6.	As a customer, I want to be able to view the restaurant's specials and promotions when browsing the menu.",Customer,20,Won’t Have,,7.0,Low,Planning,2020-02-04 12:33:41.309671,Deferred
3082,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2020-02-03 12:33:41.309671,Deferred
3083,The restaurant's online ordering system displays the restaurant's specials and promotions prominently when browsing the menu.,General User,16,Won’t Have,,6.6,Low,Planning,2020-02-02 12:33:41.309671,Deferred
3084,The specials and promotions are updated regularly and reflect the most recent offerings.,General User,13,Won’t Have,,6.3,Low,Planning,2020-02-01 12:33:41.309671,Deferred
3085,Customers can easily access the specials and promotions when browsing the menu or placing an order.,Customer,16,Won’t Have,,6.6,Low,Planning,2020-01-31 12:33:41.309671,Deferred
3087,"7.	As a customer, I want to be able to split the bill with friends or colleagues when placing a group order.",Customer,22,Won’t Have,,7.2,Low,Planning,2020-01-30 12:33:41.309671,Deferred
3088,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2020-01-29 12:33:41.309671,Deferred
3089,The restaurant's online ordering system allows customers to split the bill with friends or colleagues when placing a group order.,Customer,20,Won’t Have,,7.0,Low,Planning,2020-01-28 12:33:41.309671,Deferred
3090,The payment is divided accurately and reflects any modifications or cancellations.,General User,11,Won’t Have,,6.1,Low,Planning,2020-01-27 12:33:41.309671,Deferred
3091,The payment process is secure and user-friendly.,General User,7,Won’t Have,,5.7,Low,Planning,2020-01-26 12:33:41.309671,Deferred
3093,"8.	As a customer, I want to be able to view the restaurant's specials and promotions when browsing the menu.",Customer,20,Won’t Have,,7.0,Low,Planning,2020-01-25 12:33:41.309671,Deferred
3094,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2020-01-24 12:33:41.309671,Deferred
3095,The restaurant's online ordering system displays the restaurant's specials and promotions prominently when browsing the menu.,General User,16,Won’t Have,,6.6,Low,Planning,2020-01-23 12:33:41.309671,Deferred
3096,The specials and promotions are updated regularly and reflect the most recent offerings.,General User,13,Won’t Have,,6.3,Low,Planning,2020-01-22 12:33:41.309671,Deferred
3097,Customers can easily access the specials and promotions when browsing the menu or placing an order.,Customer,16,Won’t Have,,6.6,Low,Planning,2020-01-21 12:33:41.309671,Deferred
3099,"9.	As a customer, I want to be able to leave delivery instructions for the restaurant, such as gate codes or special parking arrangements.",Customer,24,Won’t Have,,7.4,Low,Planning,2020-01-20 12:33:41.309671,Deferred
3100,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2020-01-19 12:33:41.309671,Deferred
3101,The restaurant's online ordering system allows customers to leave delivery instructions for the restaurant.,Customer,14,Won’t Have,,6.4,Low,Planning,2020-01-18 12:33:41.309671,Deferred
3102,The restaurant staff review and follow the delivery instructions.,General User,9,Won’t Have,,5.9,Low,Planning,2020-01-17 12:33:41.309671,Deferred
3103,User stories for online shopping,General User,5,Won’t Have,,5.5,Low,Planning,2020-01-16 12:33:41.309671,Deferred
3104,"10.	As a customer, I want to be able to browse and search for products easily and efficiently.",Customer,18,Won’t Have,,6.8,Low,Planning,2020-01-15 12:33:41.309671,Deferred
3106,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2020-01-14 12:33:41.309671,Deferred
3108,"The online shopping website provides a user-friendly interface with clear categories, filters, and search functionality.",General User,15,Won’t Have,,6.5,Low,Planning,2020-01-13 12:33:41.309671,Deferred
3109,The website's search results are relevant and accurate.,General User,8,Won’t Have,,5.8,Low,Planning,2020-01-12 12:33:41.309671,Deferred
3110,"The website's product listings include high-quality product images, descriptions, and prices.",General User,11,Won’t Have,,6.1,Low,Planning,2020-01-11 12:33:41.309671,Deferred
3112,"11.	As a customer, I want to be able to add products to my cart and review my cart before checking out.",Customer,22,Won’t Have,,7.2,Low,Planning,2020-01-10 12:33:41.309671,Deferred
3114,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2020-01-09 12:33:41.309671,Deferred
3116,The online shopping website allows customers to add products to their cart and review their cart before checking out.,Customer,19,Won’t Have,,6.9,Low,Planning,2020-01-08 12:33:41.309671,Deferred
3117,"The cart shows the selected products, quantities, prices, and any applicable discounts or promotions.",General User,14,Won’t Have,,6.4,Low,Planning,2020-01-07 12:33:41.309671,Deferred
3118,"The cart's total reflects all applicable taxes, fees, and shipping costs.",General User,11,Won’t Have,,6.1,Low,Planning,2020-01-06 12:33:41.309671,Deferred
3120,"12.	As a customer, I want to be able to track my order's status and receive updates throughout the delivery process.",Customer,21,Won’t Have,,7.1,Low,Planning,2020-01-05 12:33:41.309671,Deferred
3121,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2020-01-04 12:33:41.309671,Deferred
3122,"The online shopping website provides clear and timely updates on the order's status, from processing to delivery.",General User,17,Won’t Have,,6.7,Low,Planning,2020-01-03 12:33:41.309671,Deferred
3123,"The website's updates include estimated delivery dates and times, tracking numbers, and any delivery instructions.",General User,15,Won’t Have,,6.5,Low,Planning,2020-01-02 12:33:41.309671,Deferred
3124,"The website's updates are sent via email or text message, as preferred by the customer.",Customer,15,Won’t Have,,6.5,Low,Planning,2020-01-01 12:33:41.309671,Deferred
3126,"13.	As a customer, I want to be able to view customer reviews and ratings for products.",Customer,17,Won’t Have,,6.7,Low,Planning,2019-12-31 12:33:41.309671,Deferred
3127,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2019-12-30 12:33:41.309671,Deferred
3128,The online shopping website displays customer reviews and ratings for products clearly and prominently.,Customer,14,Won’t Have,,6.4,Low,Planning,2019-12-29 12:33:41.309671,Deferred
3129,"The website's customer reviews and ratings are relevant, accurate, and up-to-date.",Customer,11,Won’t Have,,6.1,Low,Planning,2019-12-28 12:33:41.309671,Deferred
3130,"The website allows customers to sort the reviews by helpfulness, date, or rating.",Customer,13,Won’t Have,,6.3,Low,Planning,2019-12-27 12:33:41.309671,Deferred
3132,"14.	As a customer, I want to be able to easily return or exchange products if they are not satisfactory.",Customer,20,Won’t Have,,7.0,Low,Planning,2019-12-26 12:33:41.309671,Deferred
3133,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2019-12-25 12:33:41.309671,Deferred
3134,The online shopping website provides clear and simple return or exchange policies.,General User,12,Won’t Have,,6.2,Low,Planning,2019-12-24 12:33:41.309671,Deferred
3135,The website's return or exchange process is user-friendly and transparent.,General User,10,Won’t Have,,6.0,Low,Planning,2019-12-23 12:33:41.309671,Deferred
3136,The website allows customers to track their return or exchange status and receive timely updates.,Customer,15,Won’t Have,,6.5,Low,Planning,2019-12-22 12:33:41.309671,Deferred
3138,"15.	As a customer, I want to be able to receive recommendations for products based on my browsing and purchase history.",Customer,21,Won’t Have,,7.1,Low,Planning,2019-12-21 12:33:41.309671,Deferred
3139,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2019-12-20 12:33:41.309671,Deferred
3140,The online shopping website provides personalized product recommendations based on the customer's browsing and purchase history.,Customer,16,Won’t Have,,6.6,Low,Planning,2019-12-19 12:33:41.309671,Deferred
3141,"The website's recommendations are relevant, accurate, and respectful of the customer's privacy.",Customer,12,Won’t Have,,6.2,Low,Planning,2019-12-18 12:33:41.309671,Deferred
3142,The website allows customers to provide feedback on the recommendations to improve their accuracy.,Customer,14,Won’t Have,,6.4,Low,Planning,2019-12-17 12:33:41.309671,Deferred
3144,"16.	As a customer, I want to be able to access customer support easily and receive timely assistance.",Customer,18,Won’t Have,,6.8,Low,Planning,2019-12-16 12:33:41.309671,Deferred
3146,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2019-12-15 12:33:41.309671,Deferred
3147,"The online shopping website provides multiple channels for customer support, such as email, phone, or chat.",Customer,16,Won’t Have,,6.6,Low,Planning,2019-12-14 12:33:41.309671,Deferred
3148,"The website's customer support is responsive, friendly, and knowledgeable.",Customer,9,Won’t Have,,5.9,Low,Planning,2019-12-13 12:33:41.309671,Deferred
3149,The website's customer support hours are clearly communicated and respectful of the customer's time.,Customer,14,Won’t Have,,6.4,Low,Planning,2019-12-12 12:33:41.309671,Deferred
3151,"17.	As a customer, I want to be able to pay securely and conveniently.",Customer,14,Won’t Have,,6.4,Low,Planning,2019-12-11 12:33:41.309671,Deferred
3152,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2019-12-10 12:33:41.309671,Deferred
3153,"The online shopping website allows customers to pay securely and conveniently using multiple payment options, such as credit card, PayPal, or Apple Pay.",Customer,23,Won’t Have,,7.3,Low,Planning,2019-12-09 12:33:41.309671,Deferred
3154,"The website's payment process is encrypted, PCI-compliant, and verified by third-party services.",General User,12,Won’t Have,,6.2,Low,Planning,2019-12-08 12:33:41.309671,Deferred
3155,The website allows customers to save their payment information securely for faster checkout in the future.,Customer,16,Won’t Have,,6.6,Low,Planning,2019-12-07 12:33:41.309671,Deferred
3157,User stories for Booking travel accommodations,General User,6,Won’t Have,,5.6,Low,Planning,2019-12-06 12:33:41.309671,Deferred
3159,"18.	As a traveler, I want to be able to search for available accommodations in my destination.",General User,17,Won’t Have,,6.7,Low,Planning,2019-12-05 12:33:41.309671,Deferred
3160,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2019-12-04 12:33:41.309671,Deferred
3161,The travel booking website or app provides a user-friendly search form with clear input fields and filters.,General User,17,Won’t Have,,6.7,Low,Planning,2019-12-03 12:33:41.309671,Deferred
3162,"The app allows the user to search by location, dates, type of accommodation, amenities, and price range.",General User,17,Won’t Have,,6.7,Low,Planning,2019-12-02 12:33:41.309671,Deferred
3163,"The app provides accurate and relevant search results with photos, descriptions, and reviews.",General User,13,Won’t Have,,6.3,Low,Planning,2019-12-01 12:33:41.309671,Deferred
3167,"19.	As a traveler, I want to be able to book a specific accommodation for my desired dates.",General User,18,Won’t Have,,6.8,Low,Planning,2019-11-30 12:33:41.309671,Deferred
3169,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2019-11-29 12:33:41.309671,Deferred
3170,The travel booking website or app provides a user-friendly booking form with clear instructions and error messages.,General User,17,Won’t Have,,6.7,Low,Planning,2019-11-28 12:33:41.309671,Deferred
3171,"The app allows the user to select their desired dates, room type, and number of guests.",General User,16,Won’t Have,,6.6,Low,Planning,2019-11-27 12:33:41.309671,Deferred
3172,"The app provides a confirmation page with the total price, taxes, and fees, and a clear cancellation policy.",General User,18,Won’t Have,,6.8,Low,Planning,2019-11-26 12:33:41.309671,Deferred
3174,"20.	As a traveler, I want to be able to compare different accommodations based on their features and ratings.",General User,19,Won’t Have,,6.9,Low,Planning,2019-11-25 12:33:41.309671,Deferred
3175,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2019-11-24 12:33:41.309671,Deferred
3176,The travel booking website or app provides a user-friendly comparison tool with clear features and ratings.,General User,16,Won’t Have,,6.6,Low,Planning,2019-11-23 12:33:41.309671,Deferred
3177,"The app allows the user to select up to 3 accommodations to compare side-by-side, with customizable features and filters.",General User,19,Won’t Have,,6.9,Low,Planning,2019-11-22 12:33:41.309671,Deferred
3178,The app provides a clear summary of the pros and cons of each accommodation and recommends the best option based on the user's preferences.,General User,24,Won’t Have,,7.4,Low,Planning,2019-11-21 12:33:41.309671,Deferred
3180,"21.	As a traveler, I want to be able to book a combination of accommodations, such as flights and hotels.",General User,20,Won’t Have,,7.0,Low,Planning,2019-11-20 12:33:41.309671,Deferred
3181,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2019-11-19 12:33:41.309671,Deferred
3182,The travel booking website or app provides a user-friendly booking form with clear instructions and error messages.,General User,17,Won’t Have,,6.7,Low,Planning,2019-11-18 12:33:41.309671,Deferred
3183,"The app allows the user to select their desired flights, hotels, and other travel services, and combines them into a single itinerary.",General User,22,Won’t Have,,7.2,Low,Planning,2019-11-17 12:33:41.309671,Deferred
3184,"The app provides a clear summary of the total price, taxes, and fees, and a clear cancellation policy for each service.",General User,21,Won’t Have,,7.1,Low,Planning,2019-11-16 12:33:41.309671,Deferred
3186,"22.	As a traveler, I want to be able to track my booking status and receive timely notifications.",General User,18,Won’t Have,,6.8,Low,Planning,2019-11-15 12:33:41.309671,Deferred
3187,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2019-11-14 12:33:41.309671,Deferred
3188,The travel booking website or app provides a user-friendly booking dashboard with clear status updates and alerts.,General User,17,Won’t Have,,6.7,Low,Planning,2019-11-13 12:33:41.309671,Deferred
3189,"The app allows the user to view their booking details, itinerary, and payment history, and provides links to modify or cancel their bookings.",General User,23,Won’t Have,,7.3,Low,Planning,2019-11-12 12:33:41.309671,Deferred
3190,"The app sends timely notifications via email, SMS, or push notifications for booking confirmations, changes, and reminders.",General User,17,Won’t Have,,6.7,Low,Planning,2019-11-11 12:33:41.309671,Deferred
3191,"23.	 As a traveler, I want to be able to view the location and nearby attractions of my booked accommodations.",General User,20,Won’t Have,,7.0,Low,Planning,2019-11-10 12:33:41.309671,Deferred
3192,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2019-11-09 12:33:41.309671,Deferred
3193,The travel booking website or app provides a user-friendly map feature with clear markers and filters.,General User,16,Won’t Have,,6.6,Low,Planning,2019-11-08 12:33:41.309671,Deferred
3194,"The app allows the user to view the location and directions to their booked accommodations, as well as nearby attractions, restaurants, and transportation options.",General User,24,Won’t Have,,7.4,Low,Planning,2019-11-07 12:33:41.309671,Deferred
3195,The app provides accurate and up-to-date information and reviews for each location.,General User,12,Won’t Have,,6.2,Low,Planning,2019-11-06 12:33:41.309671,Deferred
3197,"24.	As a traveler, I want to be able to cancel or modify my booking in case of changes or emergencies.",General User,21,Won’t Have,,7.1,Low,Planning,2019-11-05 12:33:41.309671,Deferred
3199,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2019-11-04 12:33:41.309671,Deferred
3200,The travel booking website or app provides a user-friendly cancellation or modification form with clear instructions and fees.,General User,18,Won’t Have,,6.8,Low,Planning,2019-11-03 12:33:41.309671,Deferred
3201,"The app allows the user to cancel or modify their booking up to a certain deadline or under specific conditions, such as force majeure or medical reasons.",General User,27,Won’t Have,,7.7,Low,Planning,2019-11-02 12:33:41.309671,Deferred
3202,"The app provides a clear summary of the refund policy, cancellation fees, and alternative options.",General User,15,Won’t Have,,6.5,Low,Planning,2019-11-01 12:33:41.309671,Deferred
3204,"25.	As a traveler, I want to be able to leave a review or rating for my booked accommodations.",General User,19,Won’t Have,,6.9,Low,Planning,2019-10-31 12:33:41.309671,Deferred
3206,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2019-10-30 12:33:41.309671,Deferred
3207,The travel booking website or app provides a user-friendly review form with clear guidelines and validation rules.,General User,17,Won’t Have,,6.7,Low,Planning,2019-10-29 12:33:41.309671,Deferred
3208,"The app allows the user to rate and comment on their booked accommodations,",General User,13,Won’t Have,,6.3,Low,Planning,2019-10-28 12:33:41.309671,Deferred
3210,User stories for Planning a wedding,General User,6,Won’t Have,,5.6,Low,Planning,2019-10-27 12:33:41.309671,Deferred
3212,"26.	As a bride or groom, I want to be able to create a wedding checklist and timeline to keep track of all the tasks and deadlines.",General User,27,Won’t Have,,7.7,Low,Planning,2019-10-26 12:33:41.309671,Deferred
3214,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2019-10-25 12:33:41.309671,Deferred
3215,The wedding planning website or app provides a user-friendly checklist and timeline feature with clear categories and sub-tasks.,General User,18,Won’t Have,,6.8,Low,Planning,2019-10-24 12:33:41.309671,Deferred
3216,"The app allows the user to add or remove tasks, set deadlines and reminders, and mark them as completed or postponed.",General User,21,Won’t Have,,7.1,Low,Planning,2019-10-23 12:33:41.309671,Deferred
3217,"The app provides a clear summary of the progress and upcoming tasks, and allows the user to share or print the checklist.",General User,22,Won’t Have,,7.2,Low,Planning,2019-10-22 12:33:41.309671,Deferred
3219,"27.	As a bride or groom, I want to be able to search for and book wedding venues and vendors.",General User,20,Won’t Have,,7.0,Low,Planning,2019-10-21 12:33:41.309671,Deferred
3221,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2019-10-20 12:33:41.309671,Deferred
3222,The wedding planning website or app provides a user-friendly search and booking feature with clear categories and filters.,General User,18,Won’t Have,,6.8,Low,Planning,2019-10-19 12:33:41.309671,Deferred
3223,"The app allows the user to search for and compare wedding venues, photographers, caterers, florists, DJs, and other vendors based on location, availability, pricing, and reviews.",General User,26,Won’t Have,,7.6,Low,Planning,2019-10-18 12:33:41.309671,Deferred
3224,"The app provides a clear booking form with terms and conditions, payment options, and cancellation policy.",General User,16,Won’t Have,,6.6,Low,Planning,2019-10-17 12:33:41.309671,Deferred
3227,"28.	As a bride or groom, I want to be able to design and customize my wedding website and invitations.",General User,20,Won’t Have,,7.0,Low,Planning,2019-10-16 12:33:41.309671,Deferred
3229,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2019-10-15 12:33:41.309671,Deferred
3230,The wedding planning website or app provides a user-friendly website builder and invitation designer with clear templates and themes.,General User,19,Won’t Have,,6.9,Low,Planning,2019-10-14 12:33:41.309671,Deferred
3231,"The app allows the user to customize the colors, fonts, layout, and content of their wedding website and invitations, and preview them before publishing or sending.",General User,26,Won’t Have,,7.6,Low,Planning,2019-10-13 12:33:41.309671,Deferred
3232,"The app provides a clear RSVP and guest management feature, with reminders, dietary preferences, and other details.",General User,17,Won’t Have,,6.7,Low,Planning,2019-10-12 12:33:41.309671,Deferred
3234,"29.	As a bride or groom, I want to be able to create and share my wedding registry.",General User,18,Won’t Have,,6.8,Low,Planning,2019-10-11 12:33:41.309671,Deferred
3235,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2019-10-10 12:33:41.309671,Deferred
3236,The wedding planning website or app provides a user-friendly registry builder and gift tracker with clear categories and preferences.,General User,19,Won’t Have,,6.9,Low,Planning,2019-10-09 12:33:41.309671,Deferred
3237,"The app allows the user to add or remove items, set priorities and quantities, and track the gift status and thank-you notes.",General User,22,Won’t Have,,7.2,Low,Planning,2019-10-08 12:33:41.309671,Deferred
3238,"The app provides a clear sharing and notification feature, with options for privacy and shipping.",General User,15,Won’t Have,,6.5,Low,Planning,2019-10-07 12:33:41.309671,Deferred
3240,"30.	As a bride or groom, I want to be able to manage my wedding budget and expenses.",General User,18,Won’t Have,,6.8,Low,Planning,2019-10-06 12:33:41.309671,Deferred
3241,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2019-10-05 12:33:41.309671,Deferred
3242,The wedding planning website or app provides a user-friendly budget tracker and expense manager with clear categories and estimates.,General User,19,Won’t Have,,6.9,Low,Planning,2019-10-04 12:33:41.309671,Deferred
3243,"The app allows the user to set and adjust their budget, track their expenses, and compare them with their planned budget.",General User,21,Won’t Have,,7.1,Low,Planning,2019-10-03 12:33:41.309671,Deferred
3244,The app provides a clear report and analysis of their spending patterns and suggestions for cost-saving options.,General User,17,Won’t Have,,6.7,Low,Planning,2019-10-02 12:33:41.309671,Deferred
3246,"31.	As a bride or groom, I want to be able to plan and schedule my wedding ceremony and reception.",General User,20,Won’t Have,,7.0,Low,Planning,2019-10-01 12:33:41.309671,Deferred
3247,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2019-09-30 12:33:41.309671,Deferred
3248,The wedding planning website or app provides a user-friendly planner and scheduler with clear options and details.,General User,17,Won’t Have,,6.7,Low,Planning,2019-09-29 12:33:41.309671,Deferred
3249,"The app allows the user to select and customize their ceremony and reception venues, decorations, music, seating, and other details.",General User,20,Won’t Have,,7.0,Low,Planning,2019-09-28 12:33:41.309671,Deferred
3250,"The app provides a clear timeline and flowchart of the wedding day events, with contingency plans and backup options.",General User,19,Won’t Have,,6.9,Low,Planning,2019-09-27 12:33:41.309671,Deferred
3252,"32.	As a bride or groom, I want to be able to collaborate and communicate with my wedding party and guests.",General User,21,Won’t Have,,7.1,Low,Planning,2019-09-26 12:33:41.309671,Deferred
3253,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2019-09-25 12:33:41.309671,Deferred
3254,The wedding planning website or app provides a user-friendly collaboration and communication feature with clear roles and permissions.,General User,18,Won’t Have,,6.8,Low,Planning,2019-09-24 12:33:41.309671,Deferred
3255,"The app allows the user to invite and manage their wedding party and guests, assign tasks and responsibilities, and share updates and messages.",General User,23,Won’t Have,,7.3,Low,Planning,2019-09-23 12:33:41.309671,Deferred
3256,"The app provides a clear forum and chat room for discussions and feedback, with moderation and privacy settings.",General User,18,Won’t Have,,6.8,Low,Planning,2019-09-22 12:33:41.309671,Deferred
3258,User stories for Shopping for a new car,General User,8,Won’t Have,,5.8,Low,Planning,2019-09-21 12:33:41.309671,Deferred
3260,"33.	As a prospective car buyer, I want to be able to search and compare different car models based on my preferences.",General User,22,Won’t Have,,7.2,Low,Planning,2019-09-20 12:33:41.309671,Deferred
3261,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2019-09-19 12:33:41.309671,Deferred
3262,The car shopping website or app provides a user-friendly search and comparison feature with clear filters and criteria.,General User,18,Won’t Have,,6.8,Low,Planning,2019-09-18 12:33:41.309671,Deferred
3263,"The app allows the user to search for and compare car models based on their make, model, year, price, features, and specifications.",General User,22,Won’t Have,,7.2,Low,Planning,2019-09-17 12:33:41.309671,Deferred
3264,"The app provides a clear summary of each car model's pros and cons, and allows the user to save or share their favorite models.",General User,24,Won’t Have,,7.4,Low,Planning,2019-09-16 12:33:41.309671,Deferred
3266,"34.	As a prospective car buyer, I want to be able to read reviews and ratings of different car models from other buyers and experts.",General User,25,Won’t Have,,7.5,Low,Planning,2019-09-15 12:33:41.309671,Deferred
3267,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2019-09-14 12:33:41.309671,Deferred
3268,The car shopping website or app provides a user-friendly review and rating feature with clear categories and criteria.,General User,18,Won’t Have,,6.8,Low,Planning,2019-09-13 12:33:41.309671,Deferred
3269,"The app allows the user to read and write reviews and ratings of different car models based on their performance, reliability, safety, comfort, and other factors.",General User,26,Won’t Have,,7.6,Low,Planning,2019-09-12 12:33:41.309671,Deferred
3270,"The app provides a clear summary of the average rating and number of reviews for each car model, and allows the user to filter and sort the reviews by relevance and credibility.",General User,32,Won’t Have,,8.2,Low,Planning,2019-09-11 12:33:41.309671,Deferred
3272,"35.	As a prospective car buyer, I want to be able to schedule a test drive and see the availability of different car models at nearby dealerships.",General User,27,Won’t Have,,7.7,Low,Planning,2019-09-10 12:33:41.309671,Deferred
3273,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2019-09-09 12:33:41.309671,Deferred
3274,The car shopping website or app provides a user-friendly test drive and dealership locator feature with clear options and criteria.,General User,20,Won’t Have,,7.0,Low,Planning,2019-09-08 12:33:41.309671,Deferred
3275,"The app allows the user to schedule a test drive at a nearby dealership for a specific car model and time, and receive confirmation and reminders.",General User,26,Won’t Have,,7.6,Low,Planning,2019-09-07 12:33:41.309671,Deferred
